Date,Searching_Number,Country,Time_Frame,Keyword,Language,Regions
2023-03-26,27,Japan,3-m,Machine learning,en,Asia
2023-03-27,33,Japan,3-m,Machine learning,en,Asia
2023-03-28,68,Japan,3-m,Machine learning,en,Asia
2023-03-29,26,Japan,3-m,Machine learning,en,Asia
2023-03-30,34,Japan,3-m,Machine learning,en,Asia
2023-03-31,49,Japan,3-m,Machine learning,en,Asia
2023-04-01,0,Japan,3-m,Machine learning,en,Asia
2023-04-02,22,Japan,3-m,Machine learning,en,Asia
2023-04-03,0,Japan,3-m,Machine learning,en,Asia
2023-04-04,16,Japan,3-m,Machine learning,en,Asia
2023-04-05,36,Japan,3-m,Machine learning,en,Asia
2023-04-06,64,Japan,3-m,Machine learning,en,Asia
2023-04-07,32,Japan,3-m,Machine learning,en,Asia
2023-04-08,45,Japan,3-m,Machine learning,en,Asia
2023-04-09,34,Japan,3-m,Machine learning,en,Asia
2023-04-10,32,Japan,3-m,Machine learning,en,Asia
2023-04-11,66,Japan,3-m,Machine learning,en,Asia
2023-04-12,100,Japan,3-m,Machine learning,en,Asia
2023-04-13,48,Japan,3-m,Machine learning,en,Asia
2023-04-14,54,Japan,3-m,Machine learning,en,Asia
2023-04-15,33,Japan,3-m,Machine learning,en,Asia
2023-04-16,41,Japan,3-m,Machine learning,en,Asia
2023-04-17,21,Japan,3-m,Machine learning,en,Asia
2023-04-18,35,Japan,3-m,Machine learning,en,Asia
2023-04-19,31,Japan,3-m,Machine learning,en,Asia
2023-04-20,14,Japan,3-m,Machine learning,en,Asia
2023-04-21,64,Japan,3-m,Machine learning,en,Asia
2023-04-22,21,Japan,3-m,Machine learning,en,Asia
2023-04-23,32,Japan,3-m,Machine learning,en,Asia
2023-04-24,18,Japan,3-m,Machine learning,en,Asia
2023-04-25,0,Japan,3-m,Machine learning,en,Asia
2023-04-26,72,Japan,3-m,Machine learning,en,Asia
2023-04-27,36,Japan,3-m,Machine learning,en,Asia
2023-04-28,16,Japan,3-m,Machine learning,en,Asia
2023-04-29,20,Japan,3-m,Machine learning,en,Asia
2023-04-30,21,Japan,3-m,Machine learning,en,Asia
2023-05-01,53,Japan,3-m,Machine learning,en,Asia
2023-05-02,0,Japan,3-m,Machine learning,en,Asia
2023-05-03,35,Japan,3-m,Machine learning,en,Asia
2023-05-04,0,Japan,3-m,Machine learning,en,Asia
2023-05-05,69,Japan,3-m,Machine learning,en,Asia
2023-05-06,0,Japan,3-m,Machine learning,en,Asia
2023-05-07,16,Japan,3-m,Machine learning,en,Asia
2023-05-08,77,Japan,3-m,Machine learning,en,Asia
2023-05-09,41,Japan,3-m,Machine learning,en,Asia
2023-05-10,39,Japan,3-m,Machine learning,en,Asia
2023-05-11,0,Japan,3-m,Machine learning,en,Asia
